DEPTH,,CALI,RHOB,TNPH,SP,SGR,LLD,LLS,MSFLC,DTLN,DRHO,PERMCORE  .,PHICORE ,GDCORE
FT,,IN,G/C3,DEC,MV,GAPI,OHMM,OHMM,OHMM,US/F,G/C3,MD,FRAC,KGDM
7614.0,7554.0,9.55,2.408,0.304,-33.22,102.14,1.72,1.64,1.57,91.35,0.010,-999,-999,-999
7614.5,7554.5,9.55,2.431,0.346,-33.35,99.20,1.72,1.63,1.53,91.55,0.017,-999,-999,-999
7615.0,7555.0,9.55,2.463,0.368,-33.43,96.03,1.73,1.63,1.49,91.60,0.019,-999,-999,-999
7615.5,7555.5,9.55,2.445,0.344,-33.22,95.40,1.76,1.64,1.51,91.60,0.011,-999,-999,-999
7616.0,7556.0,9.55,2.417,0.297,-33.14,96.17,1.77,1.65,1.61,91.70,0.012,-999,-999,-999
7616.5,7556.5,9.55,2.404,0.263,-33.34,96.76,1.79,1.65,1.68,91.30,0.012,-999,-999,-999
7617.0,7557.0,9.55,2.420,0.266,-33.16,98.54,1.80,1.64,1.67,91.20,0.009,-999,-999,-999
7617.5,7557.5,9.55,2.430,0.287,-33.18,101.68,1.81,1.62,1.61,91.55,0.009,-999,-999,-999
7618.0,7558.0,9.55,2.425,0.299,-33.24,103.45,1.78,1.60,1.53,91.80,0.018,-999,-999,-999
7618.5,7558.5,9.55,2.416,0.297,-33.31,102.51,1.73,1.56,1.50,91.62,0.028,-999,-999,-999
7619.0,7559.0,9.55,2.413,0.298,-33.53,102.29,1.69,1.53,1.48,94.68,0.013,-999,-999,-999
7619.5,7559.5,9.55,2.411,0.315,-32.85,103.33,1.65,1.50,1.44,89.11,0.006,-999,-999,-999
7620.0,7560.0,9.55,2.441,0.335,-33.25,102.29,1.64,1.48,1.41,90.40,0.013,-999,-999,-999
7620.5,7560.5,9.55,2.435,0.344,-33.37,100.35,1.63,1.47,1.40,92.26,0.011,-999,-999,-999
7621.0,7561.0,9.55,2.411,0.333,-33.27,100.63,1.63,1.45,1.40,94.08,0.010,-999,-999,-999
7621.5,7561.5,9.55,2.416,0.332,-33.25,101.68,1.59,1.41,1.38,99.30,0.025,-999,-999,-999
7622.0,7562.0,9.52,2.420,0.324,-33.58,101.13,1.55,1.37,1.35,90.22,0.025,-999,-999,-999
